"Year_Index","Wealth_GMVP_Net","Wealth_GMVP_Gross","Wealth_MV_Net","Wealth_MV_Gross","Wealth_SP500","Wealth_GMVP_Net_Real","Wealth_GMVP_Gross_Real","Wealth_MV_Net_Real","Wealth_MV_Gross_Real","Wealth_SP500_Real"
0,1,1,1,1,1,1,1,1,1,1
1,1.10691267854024,1.10806914975228,1.36145878397213,1.36183522136211,1.08251467946845,1.06577177536999,1.06688526372432,1.31085710139356,1.31121954763996,1.04228058289353
2,1.36693485787615,1.3683879409894,1.75960638588826,1.76013576214489,1.26427285758023,1.29787722761198,1.29925690087998,1.67071096669034,1.67121359882702,1.20040171767276
3,1.84213971548512,1.84412154096752,2.97904149489781,2.98004357622267,1.44553390879598,1.6881217240714,1.68993785268643,2.72996918864147,2.73088748774743,1.32467541620627
4,1.51784190179202,1.51954888537336,1.75316837751928,1.75389221267415,0.924284479169235,1.34090782079555,1.3424158221437,1.54880240544919,1.54944186349748,0.816541093835076
5,1.46898250895028,1.47067404574407,2.60880076466899,2.6100786673008,1.01415913231591,1.30065700255309,1.3021547121327,2.30986751861145,2.31099899090367,0.89795022684951
6,1.79862523582761,1.80075536411277,3.22727992618624,3.22912782943979,1.18329418043091,1.57416147057846,1.57602576437746,2.82452376035749,2.82614105007696,1.03562213522316
7,1.84173197925263,1.84400942541519,3.83538447324967,3.83790619335938,1.2782156698191,1.55704529403629,1.55897070276557,3.24252790968892,3.24465983359203,1.08063481324949
8,2.09366336665438,2.09627560160674,4.27624759969885,4.2793294281701,1.47047490492448,1.7326831840529,1.7348450290022,3.53895589178921,3.54150636501873,1.21694212207851
9,2.73546534555928,2.73889505059269,5.44807849424895,5.45212801148901,1.86877207560362,2.24415179909922,2.24696549905472,4.46955585613634,4.47287804459489,1.53312423510698
10,3.39524884603536,3.39954486880488,6.7885890668861,6.79389434662726,2.18548303614362,2.74130987568958,2.74477846670554,5.4810787352991,5.48536219621971,1.76454996432099
11,3.54278624267931,3.54732520150456,9.00227104943355,9.00948901351358,2.29894576155897,2.85678522847742,2.86044529420999,7.25913255701317,7.26495288365752,1.85379355197156
12,3.81017962142175,3.81515602278583,11.7329865611075,11.7425620981057,2.40062797708385,3.02146277804158,3.02540905170428,9.30422859078232,9.31182196734054,1.90369189838287
13,5.11130934799099,5.1180339980038,19.0288139521258,19.0446499113512,2.96312845749011,3.97297122772892,3.97819823302218,14.7909126962385,14.8032218338944,2.30321103736367
14,5.90867098227409,5.91646151253494,24.1578106101648,24.1781858318316,3.17539086103077,4.48108266462244,4.48699093235385,18.3210652048826,18.3365175888236,2.40818772672447
15,6.45973114872285,6.46832983538941,28.5537296139181,28.5788809867308,3.62979698755076,4.81550217265917,4.82191219087379,21.2858002643857,21.3045497274263,2.70588587627494
16,6.99983247130741,7.00921841195045,46.0517301519151,46.0928054427111,3.98310447361299,5.15470589833869,5.16161774427107,33.9126866272616,33.9429346431406,2.93317478782421
17,10.1926738583886,10.206660672771,69.6183065059779,69.6840737548721,5.68079881304465,7.06595924699522,7.07565545250466,48.2621266461116,48.3077190693492,3.93815140767177
18,9.77971672457744,9.79326286091532,52.6875986919809,52.7396433944648,4.84960424007316,6.29162355770539,6.3003382467807,33.8957197294197,33.9292018522074,3.11991493636137
19,11.9154392781491,11.9322169898922,81.2816777379212,81.3653502399663,5.33396715348832,7.42456504445328,7.43501931384494,50.6469874253119,50.6991241463647,3.3236194781904
20,15.5121079037,15.5340349397321,126.87180574981,127.005140865686,7.35084331388781,9.42335337725245,9.43667369518276,77.0725594878962,77.1535584032145,4.46551781341437
21,17.4186951742146,17.4435214266504,165.011515591041,165.188056498585,8.92422318681698,NA,NA,NA,NA,NA
